NIS,Commune,Taux
85026,Musson,"0,31"
85034,Saint-Léger,n/a
85039,Tintigny,"0,60"
85045,Virton,"0,53"
85046,Habay,"0,22"
85047,Rouvroy,"0,63"
91005,Anhée,"0,46"
91013,Beauraing,"0,64"
91015,Bièvre,"0,33"
91030,Ciney,"0,42"
91034,Dinant,"0,53"
91054,Gedinne,"0,34"
91059,Hamois,"0,27"
91064,Havelange,"0,45"
91072,Houyet,"0,34"
91103,Onhaye,"0,44"
91114,Rochefort,"0,39"
91120,Somme-Leuze,"0,29"
91141,Yvoir,"0,38"
91142,Hastière,"0,50"
91143,Vresse-sur-Semois,"0,52"
92003,Andenne,"0,45"
92006,Assesse,"0,31"
92035,Eghezée,"0,43"
92045,Floreffe,"0,36"
92048,Fosses-la-Ville,"0,39"
92054,Gesves,"0,29"
92087,Mettet,"0,34"
92094,Namur,"0,55"
92097,Ohey,"0,39"
92101,Profondeville,"0,44"
92114,Sombreffe,"0,23"
92137,Sambreville,"0,52"
92138,Fernelmont,"0,25"
92140,Jemeppe-sur-Sambre,"0,48"
92141,La Bruyère,"0,26"
92142,Gembloux,"0,35"
93010,Cerfontaine,"0,34"
93014,Couvin,"0,52"
93018,Doische,"0,48"
93022,Florennes,"0,38"
93056,Philippeville,"0,54"
93088,Walcourt,"0,33"
93090,Viroinval,"0,51"
